시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,202210,4,"35,000",10,2005,경강로2539번길 22,20221005,직거래,-
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,84.9855,202210,17,"49,900",11,2009,화부산로111번길 24,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202210,6,"37,400",9,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1429-1,1429,1,민락,54.81,202210,5,"12,000",4,1985,하슬라로10번길 7,,중개거래,강원 강릉시
강원도 강릉시 교동,1773,1773,0,부영1,49.92,202210,9,"18,000",11,1999,정원로 53-4,,중개거래,강원 강릉시
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,202210,11,"28,500",7,2001,하슬라로 124,,중개거래,강원 강릉시
강원도 강릉시 교동,1762,1762,0,부영5,84.93,202210,21,"39,000",14,2001,교동광장로 163,,중개거래,강원 강릉시
강원도 강릉시 교동,Mar-37,37,3,예성그린1,33.9,202210,26,"9,000",4,1995,가작로252번길 22,,중개거래,강원 강릉시
강원도 강릉시 교동,780,780,0,제일,65.495,202210,13,"7,400",2,1981,화부산로117번길 7,,직거래,-
강원도 강릉시 교동,1759,1759,0,현대하이빌,99.96,202210,7,"42,500",7,1999,원대로128번길 14,,중개거래,강원 강릉시
강원도 강릉시 내곡동,476,476,0,내곡한라,84.95,202210,17,"29,200",13,1997,강변로 114,,중개거래,강원 강릉시
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,202210,30,"18,600",7,1997,강변로 114,,중개거래,강원 강릉시
강원도 강릉시 노암동,605,605,0,노암3한라,39.762,202210,25,"12,200",13,2000,남부로125번길 7,,중개거래,강원 강릉시
강원도 강릉시 노암동,390,390,0,노암한라,105.858,202210,11,"26,500",1,1994,노암길42번길 28,,중개거래,강원 강릉시
강원도 강릉시 노암동,390,390,0,노암한라,59.976,202210,21,"14,200",11,1994,노암길42번길 28,,중개거래,강원 강릉시
강원도 강릉시 노암동,711,711,0,신화,44.64,202210,6,"14,900",8,1998,강변로 270,,중개거래,강원 강릉시
강원도 강릉시 노암동,711,711,0,신화,44.64,202210,12,"12,000",7,1998,강변로 270,,직거래,-
강원도 강릉시 송정동,940,940,0,삼우은성,72.86,202210,6,"18,800",2,1992,남강초교1길 55,,중개거래,강원 강릉시
강원도 강릉시 송정동,1064,1064,0,송정아이파크,84.93,202210,29,"45,000",16,2019,경강로 2511,,직거래,-
강원도 강릉시 송정동,1064,1064,0,송정아이파크,84.93,202210,29,"45,000",16,2019,경강로 2511,,직거래,-
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202210,17,"7,000",9,1999,연주로 132,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,30.24,202210,20,"6,900",8,1999,연주로 132,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,11,11,0,영진부영1,59.987,202210,13,"15,000",11,2005,영진3길 38,,직거래,-
강원도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202210,11,"19,500",1,2005,영진3길 43,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202210,7,"13,600",7,2019,홍질목길 12,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202210,15,"12,900",5,2019,홍질목길 12,,중개거래,강원 강릉시
강원도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202210,24,"14,700",13,2019,홍질목길 12,,중개거래,강원 강릉시
강원도 강릉시 옥천동,126-12,126,12,금잔디,54.09,202210,13,"4,900",3,1980,수문길21번길 26,,직거래,-
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202210,13,"49,000",20,2018,선수촌로 113,,중개거래,강원 강릉시
강원도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202210,19,"47,000",14,2018,선수촌로 113,,중개거래,강원 강릉시
강원도 강릉시 입암동,711,711,0,강릉더샵,74.71,202210,14,"25,750",4,2014,입암로29번길 11,,직거래,-
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,157.22,202210,17,"50,000",7,2007,성덕로 328-15,,중개거래,강원 강릉시
강원도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.96,202210,26,"41,000",13,2007,성덕로 328-15,,중개거래,강원 강릉시
