시군구,전용면적,거래금액,단지명
부산광역시 강서구 명지동,98.967,58500.0,e편한세상명지
부산광역시 강서구 명지동,133.77,50000.0,극동스타클래스
부산광역시 강서구 명지동,84.97,35000.0,극동스타클래스
부산광역시 강서구 명지동,84.997,63000.0,더샵명지퍼스트월드2단지
부산광역시 강서구 명지동,80.7864,57500.0,더샵명지퍼스트월드2단지
부산광역시 강서구 명지동,84.997,60000.0,더샵명지퍼스트월드2단지
부산광역시 강서구 명지동,80.7864,69500.0,더샵명지퍼스트월드3단지
부산광역시 강서구 명지동,84.997,59000.0,더샵명지퍼스트월드3단지
부산광역시 강서구 명지동,135.8022,80000.0,더힐시그니처
부산광역시 강서구 명지동,135.8022,102000.0,더힐시그니처
부산광역시 강서구 명지동,101.88,43000.0,롯데캐슬
부산광역시 강서구 명지동,84.2591,44000.0,명지1차 금강펜테리움 센트럴파크
부산광역시 강서구 명지동,84.9728,83000.0,명지국제신도시삼정그린코아더베스트
부산광역시 강서구 명지동,84.965,47500.0,명지국제신도시호반베르디움1차
부산광역시 강서구 명지동,84.8015,46400.0,명지국제신도시호반베르디움2차
부산광역시 강서구 명지동,84.9145,53500.0,명지대방노블랜드오션뷰1차
부산광역시 강서구 명지동,84.9341,49000.0,명지대방노블랜드오션뷰1차
부산광역시 강서구 명지동,84.9341,42800.0,명지대방노블랜드오션뷰1차
부산광역시 강서구 명지동,84.9341,48000.0,명지대방노블랜드오션뷰1차
부산광역시 강서구 명지동,84.9985,55000.0,명지대방노블랜드오션뷰2차
부산광역시 강서구 명지동,84.9985,50500.0,명지대방노블랜드오션뷰2차
부산광역시 강서구 명지동,84.9975,50800.0,명지대방노블랜드오션뷰2차
부산광역시 강서구 명지동,84.9807,34900.0,명지두산위브포세이돈
부산광역시 강서구 명지동,84.9791,40000.0,명지두산위브포세이돈
부산광역시 강서구 명지동,84.9791,38500.0,명지두산위브포세이돈
부산광역시 강서구 명지동,84.99,35000.0,명지오션시티한신휴플러스
부산광역시 강서구 명지동,84.6651,51500.0,부산명지중흥S-클래스에듀오션
부산광역시 강서구 명지동,84.995,45400.0,에일린의 뜰
부산광역시 강서구 명지동,84.9898,62000.0,에일린의 뜰
부산광역시 강서구 명지동,84.9898,58000.0,에일린의 뜰
부산광역시 강서구 명지동,84.995,45000.0,에일린의 뜰
부산광역시 강서구 명지동,84.995,46500.0,에일린의 뜰
부산광역시 강서구 명지동,179.97,102500.0,엘크루블루오션
부산광역시 강서구 명지동,84.81,37500.0,퀸덤1차링컨타운
부산광역시 강서구 명지동,84.97,36000.0,퀸덤1차링컨타운
부산광역시 강서구 명지동,144.5,93000.0,퀸덤1차아인슈타인타운
